OA,Households_occupied_by_a_lone_parent_and_children,Persons_who_report_poor_health_Limiting_long-term_illness,Employed_persons_aged_ between_16_and_74_who_work_in_the_mining/quarrying/construction_industries,Person_aged_90_and_over,Persons_living_in_a_communal_establishment,Households_who_have_one_fewer_or_less_rooms_than_required,Persons_whose_main_language_is_not_English_and_they_cannot_speak_English_well_or_at all
E00056750,6.382978723,8.24,7.74,0.72,0.72,3.55,0.36
E00056751,7.272727273,2.36,10.78,0.34,0.00,2.73,0.00
E00056752,5,6.14,8.41,0.74,0.00,2.00,0.25
E00056753,0,23.17,6.74,5.28,12.60,9.93,0.41
E00056754,4.580152672,0.74,6.13,0.00,0.00,4.58,1.47
E00056755,2.666666667,8.65,4.19,0.32,0.00,6.00,0.00
E00056756,16.66666667,16.71,13.89,4.85,7.01,15.08,0.27
E00056757,9.166666667,7.19,11.11,0.68,0.00,3.33,2.05
E00056758,4.580152672,2.05,9.00,0.58,0.00,1.53,0.00
E00056759,7.692307692,3.53,7.88,0.00,0.00,0.96,0.00
E00056760,9.565217391,2.88,6.99,0.00,0.00,0.00,0.36
E00056761,9.243697479,4.67,11.81,0.78,0.00,0.84,0.39
E00056762,7.065217391,3.94,7.06,0.41,0.00,4.89,0.41
E00056763,3.623188406,1.49,6.35,0.30,0.00,0.00,0.00
E00056764,1.438848921,3.50,7.91,0.27,0.00,0.00,0.54
E00056765,3.205128205,3.51,9.47,0.29,0.00,7.05,0.00
E00056766,3.921568627,8.89,5.71,3.33,0.00,26.80,1.48
E00056767,1.680672269,7.72,9.48,1.16,0.00,0.00,0.00
E00056768,9.756097561,9.59,4.10,0.74,0.00,2.44,0.37
E00056769,21.66666667,8.42,5.51,0.00,0.00,6.67,1.01
E00056770,5.555555556,6.93,6.55,0.00,0.99,1.59,0.00
E00056771,3.816793893,10.68,9.74,0.36,0.00,5.34,0.00
E00056772,5.960264901,5.34,10.61,0.28,0.00,0.66,0.00
E00056773,4.87804878,4.52,7.26,0.00,0.00,1.63,0.00
E00056774,2.040816327,9.04,12.99,0.00,0.00,3.06,0.00
E00056775,5.042016807,5.02,3.07,0.00,0.00,1.68,0.00
E00056776,2.836879433,14.58,6.20,7.80,9.15,4.96,0.00
E00056777,7.317073171,11.49,9.85,0.77,0.00,2.44,0.00
E00056778,7.142857143,3.77,14.29,0.00,0.00,2.38,0.00
E00056779,3.623188406,3.94,8.11,0.00,0.00,1.45,0.00
E00056780,0,4.55,9.52,0.00,0.00,1.32,0.00
E00056781,6.201550388,5.41,7.32,0.64,0.00,1.55,0.00
E00056782,1.492537313,8.10,10.87,1.76,0.00,1.49,0.00
E00056783,4.273504274,1.67,11.31,0.00,0.00,0.85,0.00
E00056784,3.448275862,1.70,6.49,0.00,0.00,5.17,0.43
E00056786,2.666666667,10.37,5.60,0.74,0.00,2.67,0.37
E00056787,6.666666667,10.34,9.26,1.48,0.00,2.22,0.49
E00056788,8.256880734,10.90,8.62,0.00,0.00,5.50,0.75
E00056789,6.707317073,17.18,5.93,1.84,0.00,6.71,0.00
E00056790,7.650273224,9.14,10.71,0.00,0.00,1.64,0.00
E00056792,10.23622047,7.25,10.81,0.00,0.00,6.30,0.30
E00056793,4.918032787,4.61,2.96,0.33,0.00,0.00,0.00
E00056794,1.785714286,4.47,4.03,0.34,0.00,0.89,0.00
E00056795,7.971014493,17.01,13.01,0.68,0.00,10.87,0.00
E00056796,5.982905983,6.64,14.78,0.39,0.00,7.69,0.00
E00056797,6.25,3.05,8.07,0.38,0.00,1.79,0.00
E00056798,6.481481481,6.99,11.21,0.00,0.00,1.85,0.00
E00056799,5.084745763,10.92,6.12,0.70,0.00,3.39,0.00
E00056800,5,31.83,9.68,6.57,24.57,1.00,0.69
E00056801,7.407407407,3.15,7.81,1.18,0.00,1.85,0.00
E00056802,1.639344262,3.09,6.00,0.00,0.00,0.82,0.00
E00056803,8.695652174,6.91,7.04,0.00,0.00,1.74,0.36
E00056804,4.385964912,3.99,5.52,0.33,0.00,1.75,0.00
E00056805,5.303030303,19.50,11.11,4.40,8.81,5.30,0.31
E00056806,5.217391304,18.41,4.95,1.67,0.00,2.61,0.84
E00056807,2.777777778,3.51,6.71,0.70,0.00,1.85,0.00
E00056808,2.06185567,4.26,5.47,0.39,0.00,0.00,0.00
E00056809,2.898550725,11.48,6.50,0.00,0.00,5.80,0.74
E00056810,6.481481481,3.86,6.82,0.77,0.00,4.63,0.00
E00056811,3.937007874,3.06,8.33,0.28,0.00,0.79,0.00
E00056812,2.721088435,13.71,5.92,0.67,4.01,4.76,0.00
E00056813,1.754385965,3.55,7.69,0.00,0.00,0.00,0.00
E00056814,9.482758621,6.59,7.80,1.16,0.00,3.45,0.00
E00056815,8.333333333,1.35,5.70,0.34,0.00,5.30,0.00
E00056816,6.081081081,11.90,7.30,2.57,0.00,12.16,0.00
E00056817,2.898550725,8.71,11.49,0.32,0.00,2.90,0.65
E00056818,4.081632653,3.57,7.87,0.00,0.00,2.04,0.00
E00056819,4.316546763,16.29,8.79,0.90,0.00,15.11,0.45
E00056820,2.654867257,9.68,5.63,0.81,0.00,13.27,0.00
E00056821,5.208333333,9.48,4.31,2.84,0.00,1.04,1.90
E00056822,7.432432432,1.83,6.36,0.23,0.00,2.03,0.00
E00056823,4.411764706,6.13,8.13,0.32,0.00,6.62,0.00
E00056825,4.587155963,6.90,12.21,0.86,0.00,2.75,0.00
E00056827,19.35483871,8.09,8.26,1.70,0.00,9.68,0.00
E00056828,6.382978723,6.39,10.43,0.00,0.00,2.13,0.00
E00056829,10.18518519,9.92,4.35,1.59,0.00,3.70,0.00
E00056830,22.58064516,9.47,4.42,0.00,0.00,19.35,0.89
E00056831,4.62962963,7.38,7.89,0.41,0.00,2.78,0.00
E00056832,2.43902439,8.20,9.15,0.39,0.00,3.25,0.00
E00056833,8.421052632,1.92,8.67,0.00,0.00,0.00,0.00
E00056834,5.917159763,2.24,7.14,0.25,0.00,2.37,0.50
E00056835,5.882352941,9.51,7.43,0.31,0.00,2.21,0.61
E00056836,4.132231405,1.82,10.00,0.73,0.00,2.48,0.73
E00056837,8.080808081,9.13,7.63,0.43,0.00,2.02,0.43
E00056838,5.084745763,3.13,6.06,0.69,0.00,3.39,0.00
E00056839,20.25316456,7.73,10.17,0.00,0.00,8.86,0.75
E00056840,18.24324324,13.67,7.56,0.54,0.00,9.46,1.61
E00056841,4.032258065,4.50,9.42,0.69,0.00,6.45,0.69
E00056842,4,5.85,10.24,0.00,0.00,1.60,0.00
E00056843,1.408450704,6.49,12.06,0.00,0.00,5.63,1.62
E00056845,16.23931624,7.51,8.96,0.34,0.00,4.27,0.00
E00056846,7.784431138,6.90,3.49,0.00,0.00,26.95,8.05
E00056847,5.031446541,21.04,6.45,1.22,13.41,23.27,3.96
